,safegraph_place_id,poi_cbg,latitude,longitude,source_cbg,visits
660,sg:790b425b555145fe945ab09d57175e0c,181050001003,39.162436,-86.533275,181050002011,5
686,sg:1dbdeea61dcc4b239e0d73fa806a0511,181050002021,39.16489,-86.51246400000001,181050002011,12
710,sg:e33d7dfc8f2546e6b112088b633a94bc,181050001002,39.164559000000004,-86.527252,181050002011,4
711,sg:2bcfe50ead744854988cbf9ea8853e60,181570108001,40.416919,-86.824702,181050002011,4
728,sg:9cbec0b7728042539a643638013c5909,181050001001,39.166788000000004,-86.53250799999999,181050002011,4
737,sg:cd326cc228554a0ba2096b0ef698ba66,180973302081,39.901037,-85.959709,181050002011,4
743,sg:02d1860015f84bde9203e516cc24ce20,180973202041,39.913882,-86.13817900000001,181050002011,4
753,sg:c1c061f7934f4b9898978680fe2eb047,180571108041,39.956427000000005,-85.919494,181050002011,4
758,sg:08820dea90db49aea32e81c709d3a6fb,180350020001,40.225336,-85.37397800000001,181050002011,4
760,sg:4c90eb30d7034cb4a9aa7f159ab0edee,181050004011,39.16188,-86.553714,181050002011,4
770,sg:235965339b2f4f3799be552313d77d1b,181050009031,39.165759,-86.49821800000001,181050002011,4
783,sg:8eab88810e6f464a993ec5d4e8ba8527,181050016001,39.179159000000006,-86.528847,181050002011,11
784,sg:1ffc662b56d047dfb8e74a4b66671d68,181050002022,39.17031,-86.51513800000001,181050002011,7
794,sg:f7e2621c13d544adb75c23c8adf55832,180571109061,39.995851,-86.12988,181050002011,4
805,sg:b1105b3fd21b46bbb5e8e76de8cf68d7,181050006021,39.181968,-86.53549,181050002011,6
806,sg:1635a52e536c4890ad64d31a5811981d,181050002021,39.167681,-86.52369,181050002011,17
810,sg:2b0073cb95814f6d87f1bb31a22a5c09,181050001003,39.163795,-86.53535699999999,181050002011,4
821,sg:1211d185005445319edd7833b13bff91,180571104031,40.006541,-86.123708,181050002011,4
825,sg:37495d4acd704b8695d142464ffb5a46,181050009012,39.162715000000006,-86.500744,181050002011,16
835,sg:f604cc9e174d467e83f0d1805bea994c,181050006011,39.164733,-86.560388,181050002011,4
843,sg:5944ffa5144c465299caeacc2f403aed,180118106053,39.950161,-86.261627,181050002011,4
848,sg:a0344c0c9bff44faacc9dee094648e44,181050002013,39.173429999999996,-86.51243199999999,181050002011,39
854,sg:cd2bf56be9e347d79c760329e9b976bd,181050001002,39.166816,-86.527978,181050002011,4
856,sg:4f827d553176458ba1c93edc148e2e89,181570052004,40.441338,-86.904136,181050002011,4
866,sg:4be325ae5392440fa66bea9bbb07f9d8,200910519032,38.958391999999996,-94.72125,181050002011,4
872,sg:56195d2dfba54e24ad25b7ad4ea5d91d,212270104001,36.981526,-86.46034399999999,181050002011,4
927,sg:2330ff6c68a649aeb218d4b18ade2119,291892183002,38.574734,-90.407062,181050002011,4
929,sg:98b776c7a04b458dbc454fb3915ad6a7,290970104001,37.086013,-94.474375,181050002011,4
931,sg:b47fb8e01924451d97e9ed92071d871d,295101186001,38.627334000000005,-90.255534,181050002011,4
932,sg:56f2db6b810544278f74bb1812d557b7,291892210001,38.563033000000004,-90.402966,181050002011,4
943,sg:80494b2d80dc495e840925ac969f97d7,340390398004,40.687523999999996,-74.182171,181050002011,4
947,sg:ec844f3a0406436fbabbd4ba68f23280,340130205002,40.790738,-74.31286800000001,181050002011,4
966,sg:117c0ccb4fec45be8d3d17c4a0715915,340030202003,40.993821999999994,-74.213543,181050002011,4
981,sg:0beaebe81740445cad4f391bd252e37e,360593019001,40.795466,-73.673106,181050002011,4
983,sg:e72b2e7e516847aa94e47067f4a380c6,361190123031,41.126189000000004,-73.713657,181050002011,4
1001,sg:cf00d7380028425da291469b0a93fcf7,360550141031,43.209624,-77.697025,181050002011,4
1012,sg:0179fde905b348dfb3e3a7adb2bde777,360593018003,40.798159999999996,-73.699641,181050002011,4
1014,sg:307b34407299463990adc64c95da9ca7,361190094002,41.031521999999995,-73.75856999999999,181050002011,4
1026,sg:99a66ddcaa7c4235a3dbdc4d8b6d5bf2,390351812011,41.465962,-81.868746,181050002011,4
