,safegraph_place_id,poi_cbg,latitude,longitude,source_cbg,visits
1353,sg:fca9f5270d2c41159e285208273beb8a,170898530011,41.802864,-88.372816,181050002011,4
1355,sg:d857801488364148a0f302dd38ed11ae,171670025001,39.759679,-89.626176,181050002011,4
1357,sg:24b6f85fd35f408b9b6a8fab1ca9ef7e,171978835151,41.501498,-87.889052,181050002011,5
1359,sg:de64e2a9e68245e3ab2818b8378984f2,170312421001,41.901827000000004,-87.66776899999999,181050002011,4
1361,sg:9d70215dc2f54c01a96a16e1e6f419b2,170318104003,41.986447,-87.835094,181050002011,5
1362,sg:1ba18ccc3bfc41e88c56c0fb5f7f8a9a,170318042021,42.15341,-88.12876800000001,181050002011,4
1363,sg:e71637123a404a10bf69948141aff0b3,170438426011,41.830110999999995,-88.10539399999999,181050002011,4
1365,sg:3fdadcc2166146e8b9e681b5ec7d5978,170312819001,41.878873,-87.638974,181050002011,4
1376,sg:46cb59a0059b4a85a0cd5813676dd4bb,171978803101,41.665085,-88.205727,181050002011,4
1386,sg:3b656acc9ea647919433599ceed34793,170978644111,42.177834000000004,-88.090812,181050002011,4
1403,sg:6c2654a4253c4c4386a7cac9a01378f5,180571110071,39.959846,-86.117215,181050002011,4
1470,sg:7042a5a90c244e6f8221bf4ec153f938,180973910003,39.765692,-86.159269,181050002011,4
1480,sg:bcd922f2f08c482aad413b3918d47b41,180571104031,40.001104999999995,-86.120909,181050002011,4
1518,sg:018e3b1db1e34e518b4b2c4de70e00e3,180571109061,39.997273,-86.129582,181050002011,7
1527,sg:4dff3e7e56b14adc8fcf726b4d4115a8,180118106033,39.947665,-86.343796,181050002011,4
1577,sg:c0b9c93b1a43483aa63110aadb2ac982,180050102002,39.223568,-85.91380500000001,181050002011,4
1693,sg:ebcdaf04466142909ff32b4c0405b156,180973212001,39.869863,-86.142015,181050002011,4
1699,sg:437e7751c6dd4512856475895e93f6a0,180973101042,39.921942,-86.22836099999999,181050002011,4
1718,sg:31710c98db3d4d369b71f9e428a910a7,180973207001,39.874579,-86.143263,181050002011,4
1742,sg:cf2001df507148539c7e9cff506e29f4,180571110011,39.976799,-86.205596,181050002011,4
1760,sg:d02413cdc35048ab87e4727841473090,180571108081,39.989305,-85.921217,181050002011,4
1762,sg:d957e0a4c2284c05a3adb0cb72f25f1b,180571108081,39.958811,-85.919467,181050002011,4
1774,sg:c4bfa817843d41b1b1de00353f3f365a,180571108072,39.958486,-86.012451,181050002011,4
1801,sg:72f81de0d6354ab4a7131915a96d4418,180118105005,40.047338,-86.467873,181050002011,4
1859,sg:f3f7481c1bb642b4870996b6330081f7,180571110082,39.970141,-86.128309,181050002011,4
1863,sg:46dff896b71743fd88d16fa7c240a4c4,180571108061,39.995896,-85.936252,181050002011,4
1940,sg:0bfd3cfb45cb4b398ef439833e2ae7dd,180571110071,39.963648,-86.115675,181050002011,5
1941,sg:a2d4a488256649739a9988766600a60c,180973910003,39.772677,-86.162511,181050002011,4
1942,sg:51853179fa1f4125b05bb757cb73568f,180050105004,39.221073,-85.887602,181050002011,4
1943,sg:cd40f92bae294023a0a51675dc84b213,180571108051,39.955864,-85.994011,181050002011,4
1969,sg:1a8e7d112088438399a8a4b63026550c,180973904031,39.668843,-86.02135,181050002011,4
2220,sg:0833c65cf50f485895982b699a449673,100030112022,39.833141999999995,-75.536296,181050002011,4
2221,sg:3e4494151fa94df388bf231767aaab61,150090303032,20.687938,-156.443282,181050002011,4
2222,sg:b513171f29934f58820469de6bc9d841,100030118002,39.822007,-75.616617,181050002011,4
2276,sg:70961a58294649a9a5773df3cb7a244a,80319800001,39.858753,-104.673751,181050002011,4
2279,sg:f2ab20df9d7f40dd80357c159589a4e6,80370005011,39.604017,-106.516893,181050002011,4
2284,sg:5e224fde29fb4d92876ef6a4ec0d6212,80370005022,39.622146,-106.48127,181050002011,4
2297,sg:88642a8c340743a6b82e7274a1491e02,120810009024,27.396957,-82.554456,181050002011,4
2308,sg:78eee1533a2f4be3a1a8a5bf9c88c64b,121170207051,28.755955,-81.369877,181050002011,4
2389,sg:a23a8a7d04384b418b74b8301c19483f,160270215001,43.665807,-116.688877,181050002011,4
2390,sg:1512525804e54d38a982b533ae76468b,160270210021,43.608872,-116.591103,181050002011,4
2397,sg:904f2ca30253470395203f64b3e2e0f6,170978649033,42.167,-87.85040699999999,181050002011,4
2399,sg:204c05e3db4e41c387dfe0bbaf34ad44,171978803122,41.712979,-88.209218,181050002011,4
2403,sg:87f4ae29f89840f1ae7f6b2c0061ae85,170438426011,41.830363,-88.106844,181050002011,4
2413,sg:04a7acc361664280840b083a29883983,171670020001,39.76678,-89.70841300000001,181050002011,4
2425,sg:c055cbdd90f7400e8aac94c5028d5273,170978644121,42.180871,-88.08329499999999,181050002011,4
2436,sg:5f4e4715735d41989fdfa8d5f0257823,170318042012,42.075839,-88.18589300000001,181050002011,4
2439,sg:b4a22e6ccd0a408e8fa15d19bc23b196,170318042012,42.074496999999994,-88.191439,181050002011,4
2440,sg:65452afa46634b18936807ce904961ba,170438446011,41.852278999999996,-87.956474,181050002011,4
2443,sg:4f134f99894a48dabff6d61e7f2ba863,171670025004,39.757692,-89.616961,181050002011,4
2455,sg:43e4000561084b65967c124b8ec3ff5a,170317707001,41.990446,-87.860476,181050002011,4
2457,sg:377d040912a84a1c892880f5f847f9ba,171978803092,41.705585,-88.204851,181050002011,4
2458,sg:44af1d5ee237448797f890b7955f1acc,171978803101,41.679248,-88.20522199999999,181050002011,4
2501,sg:5ce3860409904b5da289cbd90cd7e513,180571104041,40.008804,-86.12893000000001,181050002011,4
2519,sg:8213524557f8478da51f865addc028d8,180973202043,39.915354,-86.108428,181050002011,5
2544,sg:73a32c44abd84eeab48ba7c483525b11,180890405021,41.526662,-87.467923,181050002011,4
2550,sg:0651c1c785094d3a920f1443a3b59122,180816103001,39.628735,-86.117325,181050002011,4
2552,sg:57b4b4771fad41dda596cdc2141ae627,180973202043,39.914508000000005,-86.110005,181050002011,6
2572,sg:16362caa44fe480aa6dc300a1449c876,180973908001,39.71506,-86.295503,181050002011,24
2661,sg:4f66fbff180540bb8c0ae65b3bc51419,180118106013,39.981722,-86.385088,181050002011,4
2724,sg:d40727ba9ec54fb6bcec80830759ab5e,180571110061,39.956199,-86.116405,181050002011,4
2791,sg:082be947323d4e788c07cc9946502129,180571104031,40.001984,-86.117727,181050002011,5
2919,sg:0eecc3ba1b784904938615e41e83c286,180973217001,39.851487,-86.139178,181050002011,4
2941,sg:c4d0224d749d40d9897c8e49e5beb940,180571108121,39.957157,-86.040708,181050002011,4
2957,sg:ffa6517843164ec9862f4edd2257f92f,180571104031,40.001083,-86.119732,181050002011,4
3284,sg:087ec82f7a3a4bbe8f6c4b7717884804,150090307081,20.734818,-156.452356,181050002011,4
3295,sg:8135693742df453cabe5eaad9e7064b5,60379800281,33.945842,-118.403975,181050002011,4
3326,sg:27e017ee115c4f51a5dd8e0f330861ab,60590320531,33.62794,-117.605298,181050002011,4
3350,sg:48558e79315341b09d0fcc6343a2d3c6,80370002002,39.640240999999996,-106.91288200000001,181050002011,4
3356,sg:f4b31eeaaeb042338b2253720da69dd7,81170004024,39.478852,-106.04520500000001,181050002011,6
3358,sg:2060a2a08c314b52bf685a7e16c0b097,81170004012,39.476787,-106.04522,181050002011,4
3360,sg:177eed6272fe4092b355c7b5808baaa6,81170004013,39.507944,-106.052231,181050002011,4
3371,sg:14a9ca7b598443db9f26254550655b56,120950148121,28.474974,-81.469048,181050002011,4
3375,sg:056ae699cec14a6796ae68bba2078a67,120950171032,28.386613,-81.555611,181050002011,4
3395,sg:632315bf4a3a4e87983f200c9ed83317,120310166032,30.219926,-81.607528,181050002011,4
3446,sg:165b6de7b93d4407a1dd36945b6c3f8e,131210101211,33.929287,-84.363065,181050002011,5
3451,sg:4e4cc2a81869464da5e6a89661c668bb,130670308002,33.947540999999994,-84.519406,181050002011,4
3463,sg:fac1cd3a744041e4a0376bc708dc715f,160270223001,43.604904,-116.821754,181050002011,5
3474,sg:b4b42d93a74f40e8a56d538014528856,170319801001,41.788368,-87.740562,181050002011,4
3481,sg:582dc931a8264a92a5bf0bca423435f0,171130001042,40.537909,-88.990105,181050002011,4
3483,sg:8a265ada693c4ed7864b7985c5cc70da,170318240041,41.676505,-87.954417,181050002011,4
3495,sg:37ccf74c86e342649ecf19bd92a62a34,170318254002,41.572373,-87.781634,181050002011,4
3496,sg:1a501adff0ff42f29a4c380676d47995,170318016052,42.12699,-87.854158,181050002011,4
3503,sg:c7e691b143df47c59d134b1bc7f08f15,170318284022,41.571585999999996,-87.637007,181050002011,5
3509,sg:58c7cec03bd44feea5cb61f498586362,170313204001,41.881962,-87.62541,181050002011,4
3511,sg:c55e07c2c76242aabb95947df1540b1c,170310818003,41.889804999999996,-87.637889,181050002011,4
3514,sg:e7c0877af9db4135ac13f9c6937a5f20,170318104001,41.993233000000004,-87.822415,181050002011,4
3527,sg:eb3e9e3228f94aa58d25954f934afc19,170978644092,42.188538,-88.103029,181050002011,4
3529,sg:a81d7059c1494a0a8519703f6666c9fc,170898521012,41.980525,-88.341512,181050002011,4
3531,sg:63e4f2b57c2a4b51bdfe984112dc6da6,170190057011,40.097372,-88.191161,181050002011,4
3534,sg:5d7081b41d5a4fe1879f30a7407c5ea9,171130005042,40.508883000000004,-88.95428299999999,181050002011,4
3537,sg:c4685a885c1b42a992eb08c897a9a0c6,171130002001,40.512101,-89.00053100000001,181050002011,4
3550,sg:8f376a84e5b8453cbdc341bd781e9b84,171670014001,39.800853000000004,-89.650262,181050002011,4
3551,sg:c0d235175e8d44cebdee5af97c3a9050,170318041042,42.11007,-88.11405400000001,181050002011,4
3552,sg:f6be149bfed84574995741fa05146448,170318016081,42.10605,-87.828642,181050002011,4
3556,sg:39872e8aeecf406fbc4cb77877b5dad1,170310815002,41.894296000000004,-87.624584,181050002011,4
3560,sg:6aed82a627c44f78aef98f4ed6c08489,170438462033,41.751215,-88.116563,181050002011,6
3563,sg:55ba7039e8ce4ffa84a19978cf3139d7,170978644033,42.161567,-88.050014,181050002011,4
3570,sg:cab3112cb4cd42deb77b6e6f0d076622,171978803121,41.694638,-88.205906,181050002011,4
3571,sg:9999e93a5c9d4909ae55f211a1007c07,170438465102,41.749804,-88.20774899999999,181050002011,4
3572,sg:d77cc7a0ab6c4d04b2af237e128d4352,170318241164,41.602901,-87.85548100000001,181050002011,4
3589,sg:54a9a83f207546d49101c415faadf516,171978803121,41.694458000000004,-88.206283,181050002011,4
3595,sg:9c83e26e205f4ac994094d48469ff3a5,170438465243,41.745684999999995,-88.203997,181050002011,4
3597,sg:d1bddeccad2f48deba6a0002c70948d2,170318241152,41.619116999999996,-87.84924000000001,181050002011,4
